year,completed_dwellings
1970,1329
1971,1362
1972,1930
1973,2220
1974,2193
1975,2068
1976,2172
1977,2300
1978,2283
1979,2045
1980,2237
1981,1623
1982,1924
1983,1711
1984,1608
1985,1603
1986,1515
1987,1543
1988,1841
1989,1664
1990,1758
1991,1611
1992,1600
1993,1604
1994,1714
1995,1236
1996,1620
1997,1369
1998,1427
1999,1381
2000,1258
2001,1711
2002,2140
2003,2311
2004,2355
2005,3106
2006,3294
2007,3348
2008,2978
2009,893
2010,1148
2011,565
2012,1076
2013,934
2014,1149
2015,1120
2016,1513
2017,1768
2018,2303
2019,3033
2020,3816
2021,3190
