incident_date,year,deaths,municipality,address,postal_code,construction_year,incident_type,source_link,notes,created_at,updated_at,is_commercial_residential,is_criminal_arson,id
1989-12-14,1989,1,Skagaströnd,Fellsbraut 13,545,,Fatal structure fire,https://timarit.is/page/1714620,,2025-06-04T14:46:02.819341,2025-06-04T14:46:02.819341,false,false,ce15f7ea-935f-4757-82f7-8808430a29ab
1978-07-27,1978,1,Siglufjörður,Lindargata 10,580,,Fatal structure fire,https://timarit.is/page/1502018,,2025-06-04T15:05:05.29373,2025-06-04T15:05:38.272674,false,false,e5e4c30c-dddf-43ee-8be9-8a3fb705f428
1978-03-26,1978,1,Búðardalur,Ljárskógar,371,,Fatal structure fire,https://timarit.is/page/1497256,,2025-06-04T14:57:35.82219,2025-06-04T15:06:26.694302,false,false,b54209d8-9883-4b25-b44a-2ed616203420
2016-02-23,2016,1,Reykjavík,Kleppsvegur 56,104,1958,Fatal structure fire,https://timarit.is/page/6753877,,2025-06-02T14:12:20.383935,2025-06-06T20:27:54.55288,false,false,6a1fd773-065e-4942-a7bd-9868dc677877
2025-05-22,2025,2,Reykjavík,Hjarðarhagi,105,1967,Fatal structure fire,https://www.mbl.is/frettir/innlent/2025/05/23/bandarikjamadur_og_tekki_letust_a_hjardarhaga/,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,73145b19-699c-4210-86d4-7416adbd54c4
2024-10-19,2024,1,Reykjavík,Fossaleynir 17,112,1996,Fatal structure fire,https://www.ruv.is/frettir/innlent/2024-10-19-17-ara-piltur-lest-i-eldsvodanum-a-studlum-425159,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,861015d2-e298-4603-904c-2b3ef39f7f9e
2024-08-13,2024,1,Reykjavík,Amtmannsstígur 6,101,1928,Fatal structure fire,https://www.ruv.is/frettir/innlent/2024-08-13-einn-fluttur-a-slysadeild-eftir-bruna-a-amtmannsstig-419445,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,ce16b42c-804a-4f3d-9fcf-3f9e20dc463f
2020-06-25,2020,3,Reykjavík,Bræðraborgarstíg 1,101,1906,Fatal structure fire,https://fundur.reykjavik.is/sites/default/files/agenda-items/20_skyrsla_hms_-_braedraborgarstigur_0.pdf,Criminal arson,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,true,99bf9f74-5c6c-4196-b9ac-aedf13faa668
2023-11-26,2023,1,Reykjavík,Stangarhylur 3,110,1988,Fatal structure fire,https://www.mbl.is/frettir/innlent/2023/11/29/lest_eftir_eldsvoda_i_stangarhyl/,Residency in  industrial/commercial,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,true,false,8090009a-bb32-441a-8739-f19a6067a66f
2023-10-16,2023,1,Reykjavík,Funahöfði 7,110,1968,Fatal structure fire,https://www.mbl.is/frettir/malefni/eldsvodi_a_funahofda/,Residency in  industrial/commercial,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,true,false,b5167eb3-2780-44ae-94fd-fcd3a4e0a65f
1978-11-07,1978,1,Vestmannaeyjar,Fiskvinnslustöðin Eyjaberg ,900,,Fatal structure fire,https://timarit.is/page/1505782,,2025-06-04T15:01:22.813148,2025-06-04T15:01:22.813148,false,false,91602054-9dd6-4867-8c69-769aca63089c
1998-08-15,1998,1,Garður,Gerðavegur 11,250,1956,Fatal structure fire,https://www.mbl.is/frettir/innlent/1998/08/15/madur_lest_i_eldsvoda_i_gardinum/,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,2334e3d0-b8cc-4062-a1d8-7d15d2441dc8
1975-11-04,1975,1,Reykjavík,Hraunbær,110,,Fatal structure fire,https://timarit.is/page/1462206,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,7d6760db-d925-44e7-a221-032bdc6948ee
1968-01-24,1968,3,Akureyri,Hafnarstræti 84,600,1907,Fatal structure fire,https://timarit.is/page/2658864,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,07f326a2-5b12-491b-8243-5f079b5d95df
1969-12-09,1969,1,Reykjavík,Blönduhliđ 23,105,1952,Fatal structure fire,https://timarit.is/page/1405314,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,0dbfb8b7-a641-420e-ac22-5f19a3aeabda
1970-10-07,1970,3,Þingvellir,Konungsbústaðurinn Þingvöllum,806,1907,Fatal structure fire,https://www.ruv.is/frettir/innlent/2020-07-10-fimmtiu-ar-fra-eldsvodanum-a-thingvollum,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,8ee8cf94-3dbb-4462-a401-db031c48a1b2
1970-07-21,1970,1,Reykjavík,Njálsgata 4b,101,1920,Fatal structure fire,https://timarit.is/page/3234291,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,5e96926c-007e-4dd0-bb61-14f05587fc45
1970-02-21,1970,1,Mosfellsbær,Reykjalundur,270,1950,Fatal structure fire,https://timarit.is/page/1409466,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,5b178ab5-11b9-42f8-a2a0-753063a4c289
1970-10-05,1970,1,Keflavík,Garðavegur 8,235,,Fatal structure fire,https://timarit.is/page/1411356,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,67b262bc-a683-403e-aeba-b0c9d90f0963
1971-05-02,1971,1,Hafnarfjörður,Álfaskeið 16,220,1955,Fatal structure fire,https://timarit.is/page/3237010,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,bc2d073f-98b1-4199-8063-373c76ac5fe5
1971-12-09,1971,1,Vopnafjörður,Kolbeinsgata 1,690,,Fatal structure fire,https://timarit.is/page/1424610,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,8d975926-2952-40c8-97d8-24cab5507b0f
1972-01-01,1972,1,Reykjavík,Akurgerði 27,108,,Fatal structure fire,https://timarit.is/page/3241194,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,2015129c-10a3-4171-857c-a033b4b331ed
1972-04-17,1972,1,Hellissandur,Snæfellsás 3,360,,Fatal structure fire,https://timarit.is/page/1430662,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,a4df132c-f94e-4e20-b5fa-62eb5366b68e
1973-04-13,1973,1,Reykjavík,Bókhlöðustígur 7,101,1901,Fatal structure fire,https://timarit.is/page/3248190,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,ab112de7-2c7b-41ec-ab10-d7b2b20b45b9
1973-10-19,1973,1,Akureyri,Norðurstígur 16,600,,Fatal structure fire,https://timarit.is/page/3251182,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,812b313f-c257-4b96-b082-7a5c9316582f
1973-06-09,1973,2,Neskaupstaður,Naustahvammur 56,740,,Fatal structure fire,https://timarit.is/page/3249605,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,cdf9db30-4ec5-422f-8c2d-e5b1ab99b8c9
1973-12-22,1973,4,Seyðisfjörður,Borgarhóli,710,,Fatal structure fire,https://timarit.is/page/1449574,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,b986ba54-ebe7-4adf-a575-e48a26615299
1973-01-21,1973,1,Eyrarbakki,Litla hraun,820,,Fatal structure fire,https://issuu.com/landsbjorg/docs/_rb_k_1974,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,8282298a-66ef-4372-b3e3-5f213fb210eb
1974-12-09,1974,1,Kópavogur,Álfabrekka 17,200,,Fatal structure fire,https://timarit.is/page/1455796#page/n1/mode/2up,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,c53f8e39-e5b5-456a-8bac-007ff4d41742
1975-11-26,1975,3,Reykjavík,Óðinsgata,101,,Fatal structure fire,https://timarit.is/page/3266895,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,d3bef4f1-aa11-4ec9-bd10-1879e3e7b8d0
1975-11-28,1975,1,Reykjavík,Fálkagata,101,,Fatal structure fire,https://timarit.is/page/3266918,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,06479c2a-ab3e-48cc-907f-b57c56a69681
1975-12-18,1975,1,Reykjavík,Borgartún,105,,Fatal structure fire,https://timarit.is/page/3267401,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,be54c3c4-762c-4326-b5eb-1442c2cb1d0a
1976-04-17,1976,1,Hafnarfjörður,Hvaleyrarbraut,220,,Fatal structure fire,https://timarit.is/page/1473292,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,2b9d8d55-e0e8-4d55-bd8c-7725c999b87f
1976-12-25,1976,2,Reykjavík,Hverfisgata 66,101,,Fatal structure fire,https://timarit.is/page/1481662,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,f67ca8ae-dcdb-4535-9a81-ff1002de6372
1977-07-15,1977,1,Reykjavík,Keilufell,101,,Fatal structure fire,https://timarit.is/page/1488332,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,a974b28d-357d-45d2-bbe7-4dd2163ff20f
1977-09-18,1977,2,Akranes,Flugeldagerðin,820,,Fatal structure fire,https://timarit.is/page/3367408,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,ee72a7d7-6426-421b-b835-1825db9f5396
1977-12-17,1977,1,Reykjavík,Þingholtsstræti,101,,Fatal structure fire,https://timarit.is/page/3370250,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,474dc149-2283-4a0f-bdb5-fa8478c0a0b0
1979-01-31,1979,1,Búðardalur,Bakkahvammur,370,,Fatal structure fire,https://timarit.is/page/3921106,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,d51a2c8f-0951-4764-b7b6-6cad529e01fa
1979-04-13,1979,1,Hafnarfjörður,Álfaskeið 96,220,,Fatal structure fire,https://timarit.is/page/3386234,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,65f95c73-2d6d-4dbd-aa9c-d9c39aa06fbd
1979-09-19,1979,1,Reykjavík,Veghúsastígur,101,,Fatal structure fire,https://timarit.is/page/1517498,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,51b1a013-1576-4ca7-a2b4-a4037e914ad0
1979-10-14,1979,2,Reykjavík,Laugavegur 163,101,,Fatal structure fire,https://timarit.is/page/1518476,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,3412ba63-8b32-49f7-9904-305c6ec02404
1980-05-17,1980,1,Reykjavík,Framnesvegur 25,101,,Fatal structure fire,https://timarit.is/page/1526908,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,bcb4fa7b-4bd4-4e93-a0eb-3ac601be5a4b
1980-12-09,1980,1,Snæfellsnes,Kvíabryggja,710,,Fatal structure fire,https://issuu.com/landsbjorg/docs/_rb_k_1981/144,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,8d1ba259-7986-40e4-9e14-9bac18bbc06c
1980-01-08,1980,1,Reykjavík,Langholtsvegur 77,104,,Fatal structure fire,https://issuu.com/landsbjorg/docs/_rb_k_1981/144,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,738bc999-4333-4502-8ce5-29b2e801df4b
1980-09-10,1980,1,Biskupstungur,Birkilundur,801,,Fatal structure fire,https://issuu.com/landsbjorg/docs/_rb_k_1981/144,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,ea927593-6a29-42aa-8243-cd0a01bda95f
1980-12-21,1980,1,Reykjavík,Brautarholt 22,105,,Fatal structure fire,https://timarit.is/page/3966546,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,71ff54c9-e040-4496-be43-810df7500dd0
1981-01-25,1981,1,Kötlufell,Kötlufell 11,801,,Fatal structure fire,https://timarit.is/page/3973901,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,09b0a609-f6dc-4698-8032-5ac5dfb1bc6a
1981-07-29,1981,1,Reykjavík,Efstasund 100,104,,Fatal structure fire,https://timarit.is/page/1544033,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,3da68f5a-68d6-437c-b42c-9350af6039c8
1982-03-14,1982,1,Keflavík,Aðalgata 2,230,,Fatal structure fire,https://issuu.com/landsbjorg/docs/_rb_k_198/147,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,095ee745-5982-4832-9269-55343f72d70e
1982-01-14,1982,1,Hafnarfjörður,Mjóasund 1,220,,Fatal structure fire,https://issuu.com/landsbjorg/docs/_rb_k_198/147,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,692f1920-b2b6-407b-8e4b-d407c9fe7c65
1983-04-09,1983,1,Reykjavík,Bergstaðastræti 55,101,,Fatal structure fire,https://timarit.is/page/2480211,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,f04642a2-4a54-4ae4-84b3-fd75a978232a
1983-12-24,1983,1,Reykjavík,Austurbrún,105,,Fatal structure fire,https://timarit.is/page/1585915,,2025-06-02T14:12:20.383935,2025-06-04T14:38:02.383144,false,false,cf05b2a5-39e0-4b0a-a64b-7bcd5aa31734
