year,population_1jan,source,source_table,source_url,retrieved_at_utc
1968,200281,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1969,202695,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1970,204042,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1971,204834,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1972,207361,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1973,210912,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1974,213722,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1975,216695,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1976,219262,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1977,221046,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1978,222552,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1979,224522,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1980,226948,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1981,229327,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1982,232182,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1983,235537,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1984,238416,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1985,240606,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1986,242203,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1987,244157,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1988,247561,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1989,251919,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1990,253785,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1991,255866,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1992,259727,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1993,262386,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1994,265064,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1995,266978,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1996,267958,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1997,269874,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1998,272381,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
1999,275712,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2000,279049,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2001,283361,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2002,286575,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2003,288471,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2004,290570,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2005,293577,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2006,299891,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2007,307672,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2008,315459,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2009,319368,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2010,317630,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2011,311841,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2012,313182,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2013,315810,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2014,319718,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2015,323024,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2016,326036,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2017,332507,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2018,342183,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2019,349468,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2020,354042,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2021,358298,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2022,364917,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2023,375218,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2024,383726,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
2025,389444,Statistics Iceland (Hagstofa Íslands),MAN00000.px (Lykiltölur mannfjöldans) / Eining=0 (Mannfjöldi 1. janúar),https://px.hagstofa.is/pxis/api/v1/is/Ibuar/mannfjoldi/1_yfirlit/Yfirlit_mannfjolda/MAN00000.px,2026-01-02T23:26:00+00:00
